#
# N:115, E:613  (Mon Feb  9 18:19:26 2015)
#
# XVals	likelihood	Sigmoid (scaled)	BIC	XVals	C
183.9	100	99.9906	0	183.9	16
220.68	100	99.9821	0	220.68	16
264.816	100	99.9656	0	264.816	16
317.779	98.9649	99.934	0.895398	317.779	15
381.335	98.9649	99.8735	0.895398	381.335	15
457.602	97.5847	99.7577	2.14374	457.602	14
549.122	97.5847	99.5362	2.14374	549.122	14
658.947	95.5144	99.114	4.09795	658.947	13
790.736	95.5144	98.3141	4.09795	790.736	13
948.884	95.5144	96.8153	4.09795	948.884	13
1138.66	95.5144	94.0645	4.09795	1138.66	13
1366.39	95.5144	89.2026	4.09795	1366.39	13
1639.67	74.8117	81.156	24.6206	1639.67	9
1967.61	74.8117	69.1843	24.6206	1967.61	9
2361.13	67.5658	53.9249	31.8689	2361.13	8
2833.35	48.2433	37.8927	51.3066	2833.35	6
3400.02	38.0743	24.1306	61.5449	3400.02	5
4080.03	0	14.2221	100	4080.03	2
4896.03	0	7.95562	100	4896.03	0
5875.24	0	4.31147	100
7050.28	0	2.29494	100
8460.34	0	1.20964	100
10152.4	0	0.634259	100
12182.9	0	0.331647	100
14619.5	0	0.173163	100
17543.4	0	0.0903447	100
